name,price,pic
荣耀V20 游戏,2399.00,//img10.360buyimg.com/n7/jfs/t1/25173/15/12624/346766/5c99f254E4d401305/5c181ce1948cc9bc.jpg
魅族 16th Plus 全面屏游戏,1848.00,//img10.360buyimg.com/n7/jfs/t1/98433/10/1256/327914/5dbc3002E778f4e20/6db22e8c30a06471.png
vivo U3 6GB+64GB 晶石蓝 5000mAh大电池 18W双引擎闪充 骁龙675处理器 全网通4G,1049.00,//img11.360buyimg.com/n7/jfs/t1/84972/37/12530/122337/5e4b6dbbEfbb56704/68b11c7cef04ef5e.jpg
OPPO A5【到手价低至699】超视野全面屏拍照,699.00,//img12.360buyimg.com/n7/jfs/t1/17258/2/2733/190677/5c203f6dEaa2b7fb9/587979400adbc99a.jpg
华为nova5 ,1899.00,//img12.360buyimg.com/n7/jfs/t1/92718/26/12346/83767/5e46002fE09740d4d/aac9db2e5bc4d0b9.jpg
【至高优惠50】vivo U3x 5000mAh大电量 超广角AI三摄 4G全网通智能,799.00,//img14.360buyimg.com/n7/jfs/t1/97594/37/12543/82897/5e4c0970E657ce444/649c40ec3fcbf568.jpg
华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB天空之境全网通版双4G,4488.00,//img14.360buyimg.com/n7/jfs/t1/95402/13/12390/95916/5e49369aE9e05e00e/72ed5193836b6beb.jpg
OPPO Reno Ace 8GB+128GB 星际蓝 65W超级闪充 90Hz电竞屏 高通骁龙855Plus 4G智能游戏,2999.00,//img13.360buyimg.com/n7/jfs/t1/62828/22/13572/175245/5db03c8aE59146667/a46b7de1843385ec.jpg
朵唯（DOOV）刘海全面屏拍照游戏,539.00,//img13.360buyimg.com/n7/jfs/t1/93572/18/12113/318825/5e42bbaaEd53040d5/1c71eb7b32e697cf.jpg
荣耀V20 游戏,2399.00,//img10.360buyimg.com/n7/jfs/t1/25173/15/12624/346766/5c99f254E4d401305/5c181ce1948cc9bc.jpg
魅族 16th Plus 全面屏游戏,1848.00,//img10.360buyimg.com/n7/jfs/t1/98433/10/1256/327914/5dbc3002E778f4e20/6db22e8c30a06471.png
vivo U3 6GB+64GB 晶石蓝 5000mAh大电池 18W双引擎闪充 骁龙675处理器 全网通4G,1049.00,//img11.360buyimg.com/n7/jfs/t1/84972/37/12530/122337/5e4b6dbbEfbb56704/68b11c7cef04ef5e.jpg
OPPO A5【到手价低至699】超视野全面屏拍照,699.00,//img12.360buyimg.com/n7/jfs/t1/17258/2/2733/190677/5c203f6dEaa2b7fb9/587979400adbc99a.jpg
华为nova5 ,1899.00,//img12.360buyimg.com/n7/jfs/t1/92718/26/12346/83767/5e46002fE09740d4d/aac9db2e5bc4d0b9.jpg
OPPO A5 全面屏拍照,649.00,//img13.360buyimg.com/n7/jfs/t1/50882/22/15802/92030/5dc922b1E3e4011dd/594fdd7127bc2a7a.jpg
realme 真我X2 6400万超广角四摄 高通骁龙730G 30W VOOC4.0闪充 4000mAh大电池 全网通6GB+128GB 星图蓝 游戏智能,1599.00,//img11.360buyimg.com/n7/jfs/t1/92484/16/12254/171313/5e4534fdE8c742131/0122a384275a9f2b.jpg
Redmi 7A 4000mAh超长续航 AI人脸解锁 骁龙8核  标配10W充电器 整机防泼溅 3GB+32GB 磨砂黑 游戏智能,549.00,//img12.360buyimg.com/n7/jfs/t1/83202/24/524/298511/5cebc5cdE5f4759ac/4567583f90977277.jpg
realme 真我Q 4800万超广角四摄 高通骁龙712AIE 20W VOOC闪充 4035mAh大电池 全网通6GB+64GB 幻境白 游戏智能,1298.00,//img12.360buyimg.com/n7/jfs/t1/108091/21/6017/158919/5e453129E8a033702/0577c8a1cd33fd84.jpg
华为（HUAWEI）荣耀Play3 4800万AI三摄 全网通版移动联通电信4G 双卡双待全面屏,845.00,//img14.360buyimg.com/n7/jfs/t1/64737/15/15848/139786/5dd4e2e7E3c15adfa/4542394206d3cbf3.jpg
荣耀play3华为,819.60,//img14.360buyimg.com/n7/jfs/t1/80360/12/9284/113481/5d706e9eE32d94bc8/acf8ab57b66b8a64.jpg
一加 OnePlus 7T 90Hz流体屏 骁龙855Plus旗舰 4800万超广角三摄  8GB+128GB 冰际蓝 全面屏拍照游戏,2999.00,//img12.360buyimg.com/n7/jfs/t1/83628/28/13100/219271/5da56660E1f24a601/b101d7bd7e81c766.jpg
华为 nova6se ,2189.00,//img14.360buyimg.com/n7/jfs/t1/89443/24/12632/169335/5e4ceb7aE658e777b/38e43032f8879462.jpg
朵唯 9X 智能,598.00,//img14.360buyimg.com/n7/jfs/t1/70286/4/14759/180059/5dc51d15E2d821d6d/891217f3b2638b57.jpg
华为 nova4e ,1299.00,//img12.360buyimg.com/n7/jfs/t1/18765/27/10831/82276/5c8a0e8eE44ae49a7/6ca904b9ccec0f20.jpg
vivo Z5x【到手价1198起】极点全面屏学生智能骁龙710游戏大容量强续航4G全网通,1398.00,//img10.360buyimg.com/n7/jfs/t1/91675/29/12299/404791/5e46a23eEad285ebe/a77a62976de88ffe.jpg
OPPO Reno3 元气版 双模5G 4800万超清四摄 视频双防抖 7.96mm纤薄机身  8GB+128GB 天镜白 游戏视频,2999.00,//img12.360buyimg.com/n7/jfs/t1/105372/30/10877/137850/5e242cb4Ee34961cd/200e3d9d780891cd.jpg
小米10 5G,4448.00,//img12.360buyimg.com/n7/jfs/t1/107452/24/6380/114254/5e4bd7d3Eac774a77/be52255b434e0f95.jpg
vivo iQOO Pro 12GB+128GB 竞速黑 高通骁龙855Plus,2998.00,//img12.360buyimg.com/n7/jfs/t1/109964/36/6383/131670/5e4b7301Ef78361e9/33a6bc92ec2650ba.jpg
华为（HUAWEI）荣耀Play3  全网通4G 真4800万AI三摄 超长待机智能老人老年备用,809.00,//img10.360buyimg.com/n7/jfs/t1/102692/36/6717/499323/5df60b74Eb1c2865f/df7dbc6c6b300ad7.png
【新品6+64GB】极速八核处理器指纹人脸识别 移动联通电信全网通4G老人老年学生商务智能,599.00,//img13.360buyimg.com/n7/jfs/t1/104002/15/4212/368464/5de5d93aE2c560546/8dbacca0acb70f04.png
OPPO A8 新品,1199.00,//img14.360buyimg.com/n7/jfs/t1/86140/17/11813/104973/5e3cc4b1E06fa7bf2/bf5574c07d290931.jpg
华为(HUAWEI)畅享 9S 移动4G+全网通 移动联通电信4G 全面屏智能,979.00,//img10.360buyimg.com/n7/jfs/t1/72645/37/3952/112685/5d21631eE1035f116/56612584bc171916.jpg
新款4G+64G大内存 6.1英寸水滴大屏 小辣椒9e安卓智能,599.00,//img14.360buyimg.com/n7/jfs/t1/106564/1/10560/253352/5e1b3adcE5ee53dd1/2b43558917dd4e63.jpg
【已降200】华为nova5 Pro,2389.00,//img10.360buyimg.com/n7/jfs/t1/93178/7/10863/109950/5e2252f7Ea00a62a8/a9dd61b95b080c00.jpg
